name,sostav,cal,prot,fat,carb
Салат с курицей и цуккини,"Пастрами куриное, микс салата, цуккини, помидоры черри, соус песто",210,11,17,"3,5"
Салат с курицей терияки и овощами,"Куриное бедро, помидоры, микс салата, кинза, лук фри, авокадо, соус терияки, майонез, сыр пармезан, чипсы из тортильи",370,18,28,10
Салат с огурцом и редисом,"Огурец, редис, микс салата, растительное масло",120,1,"9,5",8
Салат с редисом и огурцом,"Огурец, редис, микс салата, растительное масло",120,1,"9,5",8
Салат с рукколой и креветками,"Руккола, авокадо, креветки с тимьяном и чесноком, помидоры, пармезан, соус винегрет",320,"3,5",30,"7,5"
Салат с рыбой горячего копчения,"Минтай, картофель, лук, яйцо, корнишоны, майонез, укроп",250,13,18,"9,5"
Салат с хрустящими баклажанами и сыром фета,"Баклажаны, помидоры, сыр фета, семена кунжута, крахмал, соус свит-чили",130,3,"4,5",18
Салат фермерский,"Помидоры, огурцы, листья романо",320,3,31,"9,5"
Салат цезарь с курицей,"Салат айсберг, пармезан, крутоны из чиабатты, грудка куриная (чеснок, соевый соус), помидоры черри, соус цезарь (чеснок, анчоусы, горчица, вустерский соус, оливковое масло, пармезан, майонез)",170,9,12,7
Сгущённое молоко,,95,"2,5",2,17
Сельдь под шубой,"Картофель, майонез, филе сельди, морковь отварная, яйцо, свекла, лук репчатый, лук зелёный",290,"9,5",23,11
Сенча,,,,,
Скрэмбл,С миксом салата и черри,440,22,30,23
Сметана,,85,"0,5",9,1
Соус барбекю,,50,"0,2","0,2",12
Соус белый барбекю,,170,1,17,"1,5"
Соус болоньезе,"Фарш говяжий, томаты в собственном соку, лук, морковь, сельдерей, гвоздика, корица, бадьян, орегано",170,17,"8,5","5,5"
Соус медово-горчичный,,150,1,14,4
Соус перечный,,40,1,"2,5",4
Соус песто,,180,"2,5",18,2
Соус свит-чили,,65,"0,1","0,3",15
Соус сырный,,35,3,2,"1,5"
Соус терияки,,25,2,0,"4,5"
Соус чипотле,,25,1,"0,5","4,5"
Соус чипотле-майонез,,130,1,14,2
Спагетти,Отварные спагетти из твёрдых сортов пшеницы,,,,
Стейк Денвер в специях чурасско,"Альтернативный говяжий стейк (лопаточная часть), чёрный перец, кориандр, паприка, копчёная паприка, острый чили",720,31,48,42
Стейк лосося с соусом бер блан,"Филе лосося на коже, соус бер блан (лук шалот, тимьян, чеснок, белое вино, сливки, свежемолотый перец, сливочное масло)",490,13,48,"2,5"
Стейк Рибай,"Говядина (рибай), соль, перец, сливочное масло, розмарин, тимьян",430,34,31,4
Столичный,"Картофель, морковь, горошек, огурцы маринованные, яйцо, майонез, ростбиф",250,9,20,"7,5"
Суп картофельный с грибами,"Картофель, шампиньоны, лук, морковь, куриный бульон, сливки",130,"3,5",7,14
Суп картофельный с фрикадельками,"Картофель, лук, морковь, куриный бульон, горошек зелёный, фрикадельки (говядина, курица)",100,"1,5",5,13
Суп Минестроне,"Фасоль белая, цуккини, баклажан, болгарский перец, морковь, свежие брокколи, овощной бульон, соус песто, базилик",180,"4,5",9,19
Суп пюре морковно-имбирный,"Сельдерей, лук, морковь, картофель, сливочное масло, имбирь, мускатный орех, тимьян, сливки, овощной бульон, семена тыквы",130,"2,5",4,20
Суп рассольник,"Куриное филе, куриный бульон, картофель, перловая крупа, лук, морковь, огурцы маринованные",230,13,12,20
Суп харчо с курицей,"Бульон куриный, рис, лук, томатная паста, чеснок, кинза, томаты свежие, аджика",140,10,5,15
Сырники со сметаной,,450,36,24,22
Сырный с гренками,"Картофель, лук, чеснок, овощной бульон, сыр плавленый, мука, сливки, сельдерей",400,9,26,31
Сэндвич с куриным пастрами,"Тостовый хлеб, масло сливочное, помидоры, салат айсберг, соус цезарь, куриное пастрами, сыр пармезан",420,18,28,24
Таллинский пирог с ягодами,,290,"7,5",14,34
Тегуаньинь,,,,,
Тефтели,"Говядина, курица, лук, хлеб, яйцо, чеснок сухой, соус чурасско, томатный соус (томаты в собственном соку, орегано, масло сливочное, сахар)",330,15,21,18
Тефтели из говядины,"Говядина, лук, рис, мука, морковь, томатная паста, томаты в собственном соку, сахар, орегано",330,15,21,18
Тирамису классический,,290,13,19,19
Тирамису малиновый,,290,13,19,19
Том Ям,"Куриный бульон, кокосовое молоко, лемонграсс, корень галангала, лист лайма, шампиньоны, креветки, кальмар, томаты черри, кинза, рис басмати",,,,
Томатный суп с крутонами,"Сельдерей, лук, морковь, томаты в собственном соку, тимьян, чеснок",150,2,"4,5",25
Торт Наполеон с грушей и кедр орехами,,500,17,38,23
Тост с форелью с/с и яйцом пашот,"Тост ржаной, соус гуакамоле (авокадо, сок лимона, перец чили), руккола, яйцо пашот, форель с/с, голландский соус (желтки яичные, сок лимона, сливочное масло)",570,14,46,26
Травяной,,,,,
Треска в кляре,"Филе трески, кляр (мука, яйцо), сок лимона",360,25,18,23
Уха норвежская,"Лук, морковь, болгарский перец, рыбный бульон, филе форели, сливки, масло сливочное",230,"4,5",15,19
